coaster_name,Length,Speed,Status,Manufacturer,Model,Height,Lift/launch system,G-force,Designer,Track layout,Type_Main,opening_date_clean,speed_mph,height_ft,Inversions_clean
Time Traveler (roller coaster),"3,020 ft (920 m)",50.3 mph (81.0 km/h),Operating,Mack Rides,Xtreme Spinning Coaster,100 ft (30 m),launch,,,Terrain[2],Steel,2018-03-14,50.3,,3
Twisted Timbers,"3,351 ft (1,021 m)",54 mph (87 km/h),Operating,Rocky Mountain Construction,I-Box,111 ft (34 m),lift,,Alan Schilke,Triple out and back,Steel,2018-03-24,54.0,,3
Wicker Man (roller coaster),"2,608.3 ft (795.0 m)",43.6 mph (70.2 km/h),Operating,Great Coasters International,,,lift,,Skyline Design LLC,,Wood,2018-03-20,43.6,,0
Wonder Woman Coaster,"1,019 ft (311 m)",38 mph (61 km/h),Operating,S&S – Sansei Technologies,4D Free Spin,110 ft (34 m),lift,,,,Steel,2018-06-01,38.0,,6
Wonder Woman Golden Lasso Coaster,"1,800 ft (550 m)",52 mph (84 km/h),Operating,Rocky Mountain Construction,Raptor – Prototype,113 ft (34 m),lift,,Alan Schilke,,Steel,2018-05-12,52.0,,3
Copperhead Strike,"3,255 ft (992 m)",50 mph (80 km/h),Operating,Mack Rides GmbH & Co KG,Launch Coaster,82 ft (25 m),launch,,,,Steel,2019-03-23,50.0,,5
Fury (roller coaster),"600 m (2,000 ft)",106.6 km/h (66.2 mph),Operating,Gerstlauer,Infinity Coaster,43 m (141 ft),launch,,,,Steel,2019-06-24,66.2,141.1,2
Hakugei (roller coaster),"1,530 m (5,020 ft)",107 km/h (66 mph),Operating,Rocky Mountain Construction,I-Box Track,55 m (180 ft),lift,4,,,Steel,2019-03-28,66.5,180.4,3
Kentucky Flyer,"1,288 ft (393 m)",35 mph (56 km/h),Operating,Gravitykraft Corporation,,47 ft (14 m),lift,,The Gravity Group,Out and back,Wood,2019-04-28,35.0,,0
Mystic (roller coaster),,52.8 mph (85.0 km/h),Operating,Gerstlauer,Infinity Coaster,101.7 ft (31.0 m),lift,,,,Steel,2019-05-30,52.8,,3
Panic Coaster – Back Daaan,767.7 ft (234.0 m),18.6 mph (29.9 km/h),Operating,Gerstlauer,Family Coaster,13.5 ft (4.1 m),launch,,,,Steel,2019-03-23,18.6,,0
Taiga (roller coaster),"3,622 ft (1,104 m)",65.9 mph (106.1 km/h),Operating,Intamin,Blitz Coaster,170.6 ft (52.0 m),launch,5,,,Steel,2019-06-18,65.9,,4
Tigris (roller coaster),863 ft (263 m),62 mph (100 km/h),Operating,Premier Rides,Sky Rocket II,150 ft (46 m),launch,,,,Steel,2019-04-19,62.0,,1
TMNT Shellraiser,"3,280.8 ft (1,000.0 m)",62.1 mph (99.9 km/h),Operating,Gerstlauer,1000,141 ft (43 m),launch,,,,Steel,2019-10-25,62.1,,7
Untamed (Walibi Holland),3559.7 ft,57.2 mph,Operating,Rocky Mountain Construction,IBox Track,119.8 ft,lift,,Alan Schilke,,Steel,2019-07-01,57.2,,5
Yukon Striker,"1,105 m (3,625 ft)",130 km/h (81 mph),Operating,Bolliger & Mabillard,Dive Coaster,68 m (223 ft),lift,,,,Steel,2019-05-03,80.8,223.1,4
Zadra (roller coaster),"1,316 m (4,318 ft)",121 km/h (75 mph),Operating,Rocky Mountain Construction,,62.8 m (206 ft),lift,4,,,Other,2019-08-22,75.2,206.0,3
Candymonium,"4,636 ft (1,413 m)",76 mph (122 km/h),Operating,Bolliger & Mabillard,,210 ft (64 m),lift,,,Out and Back,Steel,2020-07-03,76.0,,0
F.L.Y. (roller coaster),"4,055.1 ft (1,236.0 m)",48.5 mph (78.1 km/h),Operating,Vekoma,,,launch,,,,Steel,,48.5,,2
Objectif Mars,"1,640.4 ft (500.0 m)",34.2 mph (55.0 km/h),Operating,Intamin,,,launch,,,,Steel,2020-06-13,34.2,,0
Orion (roller coaster),"5,321 ft (1,622 m)",91 mph (146 km/h),Operating,Bolliger & Mabillard,Hyper Coaster,287 ft (87 m),lift,,,,Steel,2020-07-02,91.0,,0
Pitts Special (roller coaster),"693 m (2,274 ft)",100 km/h (62 mph),Operating,Gerstlauer,Infinity Coaster,43.5 m (143 ft),lift,4.5,,,Steel,2020-06-24,62.1,142.7,0
Sandy's Blasting Bronco,"1,607.6 ft (490.0 m)",47.8 mph (76.9 km/h),Operating,Intamin,,85.3 ft (26.0 m),launch,,,,Steel,2020-10-01,47.8,,4
Texas Stingray,"3,379 ft (1,030 m)",55 mph (89 km/h),Operating,Great Coasters International,,96 ft (29 m),lift,,"Dustin Sloane, Skyline Attractions",Twister,Wood,2020-02-22,55.0,,0
West Coast Racers,"4,000 ft (1,200 m)",55 mph (89 km/h),Operating,Premier Rides,Custom,67 ft (20 m),launch,,,,Steel,2020-01-09,55.0,,4
Abyssus,"4,317.6 ft (1,316.0 m)",62.1 mph (99.9 km/h),Operating,Vekoma,Shockwave 1320m+,126.3 ft (38.5 m),launch,4.5,Benjamin Bloemendaal,,Steel,2021-07-14,62.1,,4
Dragon Slayer (roller coaster),770 ft (230 m),34 mph (55 km/h),Operating,S&S - Sansei Technologies,4D Free Spin,112 ft (34 m),lift,,Alan Schilke,,Steel,2021-05-29,34.0,,0
Jersey Devil Coaster,"3,000 ft (910 m)",58 mph (93 km/h),Operating,Rocky Mountain Construction,Raptor - Custom,130 ft (40 m),lift,,Alan Schilke,,Steel,2021-06-13,58.0,,3
Kondaa,"3,937 ft (1,200 m)",70.2 mph (113.0 km/h),Operating,Intamin,Mega Coaster,164 ft (50 m),lift,,,,Steel,2021-05-08,70.2,,0
Krampus Expédition,"1,968.5 ft (600.0 m)",49 mph (79 km/h),Operating,Mack Rides,Water Coaster,91.9 ft (28.0 m),lift,3.5,,,Steel,2021-06-12,49.0,,0
Lil' Devil Coaster,262.5 ft (80.0 m),,Operating,Zamperla,Family Gravity Coaster 80STD,13 ft (4.0 m),lift,,,Single Helix (center),Steel,1999-01-01,,,0
Little Dipper (Conneaut Lake Park),,,Operating,Allan Herschell Company,Little Dipper,,lift,,,Oval,Steel,1950-01-01,,,0
Looping Star (Clacton Pier),"365 m (1,198 ft)",,Operating,Pinfari,ZL42,11 m (36 ft),lift,,,,Steel,2021-10-23,,36.1,1
Monster (Gröna Lund),"2,296.6 ft (700.0 m)",55.9 mph (90.0 km/h),Operating,Bolliger & Mabillard,Inverted Coaster,111.5 ft (34.0 m),lift,4.5,,,Steel,2021-06-02,55.9,,3
Storm Chaser (Paultons Park),,,Operating,Mack Rides,Spinning Coaster / Sierra Sidewinder,65.6 ft (20.0 m),lift,,,,Steel,2021-04-12,,,0
Stunt Pilot (roller coaster),"1,800 ft (550 m)",52 mph (84 km/h),Operating,Rocky Mountain Construction,Raptor – Custom,105 ft (32 m),lift,,Alan Schilke,,Steel,2021-05-29,52.0,,3
The Ride to Happiness,"3,018.4 ft (920.0 m)",55.9 mph (90.0 km/h),Operating,Mack Rides,Xtreme Spinning Coaster,108.3 ft (33.0 m),launch,,,,Steel,2021-07-01,55.9,,6
VelociCoaster,"4,700 ft (1,400 m)",70 mph (110 km/h),Operating,Intamin,Blitz Coaster,155 ft (47 m),launch,,Universal Creative,,Steel,2021-06-10,70.0,,4
